u(x),N(x),grid_points
0.14910746,4.7949905,0.0101010101010101
0.20242,3.9227605,0.0202020202020202
0.26251984,3.2870812,0.0303030303030303
0.32939577,2.8077836,0.0404040404040404
0.40013933,2.4356003,0.0505050505050505
0.47253346,2.1386487,0.0606060606060606
0.5455737,1.8959317,0.0707070707070707
0.6189387,1.6935863,0.0808080808080808
0.6925688,1.5223541,0.0909090909090909
0.7664509,1.3758912,0.101010101010101
0.84054136,1.2496705,0.1111111111111111
0.9147626,1.1403079,0.1212121212121212
0.98898995,1.0451612,0.1313131313131313
1.0630754,0.96208906,0.1414141414141414
1.1368706,0.88930845,0.1515151515151515
1.2102064,0.8253131,0.1616161616161616
1.2829373,0.76881504,0.1717171717171717
1.3549168,0.71872425,0.1818181818181818
1.4260229,0.6741018,0.1919191919191919
1.4961473,0.6341553,0.202020202020202
1.5652051,0.59821033,0.2121212121212121
1.6331325,0.56570005,0.2222222222222222
1.699888,0.536149,0.2323232323232323
1.7654538,0.50916004,0.2424242424242424
1.829828,0.48440266,0.2525252525252525
1.893029,0.4615984,0.2626262626262626
1.9550905,0.4405222,0.2727272727272727
2.016061,0.4209833,0.2828282828282829
2.0759974,0.4028244,0.2929292929292929
2.1349635,0.38591003,0.303030303030303
2.1930327,0.37013292,0.3131313131313131
2.2502682,0.35539055,0.3232323232323232
2.3067408,0.34160614,0.3333333333333333
2.3625128,0.32869864,0.3434343434343435
2.4176345,0.31660795,0.3535353535353536
2.4721482,0.30526447,0.3636363636363636
2.5260787,0.29461908,0.3737373737373737
2.5794463,0.2846117,0.3838383838383838
2.6322472,0.27519417,0.393939393939394
2.684475,0.26631784,0.4040404040404041
2.7361038,0.25793552,0.4141414141414142
2.7871108,0.25000906,0.4242424242424242
2.8374646,0.24249697,0.4343434343434343
2.8871374,0.23536777,0.4444444444444445
2.936109,0.2285924,0.4545454545454546
2.9843664,0.22214699,0.4646464646464647
3.031915,0.21601152,0.4747474747474748
3.0787687,0.21016979,0.4848484848484848
3.124959,0.20461369,0.494949494949495
3.170529,0.19932795,0.5050505050505051
3.2155287,0.19430447,0.5151515151515152
3.260012,0.1895361,0.5252525252525253
3.3040366,0.18501234,0.5353535353535354
3.3476505,0.18071651,0.5454545454545455
3.3908968,0.17663574,0.5555555555555556
3.433805,0.17275524,0.5656565656565657
3.4763913,0.16905212,0.5757575757575758
3.518662,0.1655097,0.5858585858585859
3.5606146,0.16210747,0.595959595959596
3.6022372,0.15882587,0.6060606060606061
3.6435113,0.15565586,0.6161616161616162
3.6844196,0.15257931,0.6262626262626263
3.7249486,0.14959621,0.6363636363636365
3.7650852,0.14670181,0.6464646464646465
3.804823,0.1438961,0.6565656565656566
3.8441632,0.14118767,0.6666666666666667
3.8831139,0.13857937,0.6767676767676768
3.9216857,0.13608074,0.686868686868687
3.9599,0.13370323,0.696969696969697
3.997779,0.13144541,0.7070707070707072
4.0353475,0.12931156,0.7171717171717172
4.0726357,0.12730408,0.7272727272727273
4.10967,0.12541819,0.7373737373737375
4.146488,0.123645306,0.7474747474747475
4.183114,0.12197971,0.7575757575757577
4.2195907,0.12041521,0.7676767676767677
4.2559547,0.11895466,0.7777777777777778
4.2922463,0.11759853,0.787878787878788
4.328525,0.11638117,0.797979797979798
4.36485,0.115348816,0.8080808080808082
4.401308,0.11459446,0.8181818181818182
4.438003,0.11424589,0.8282828282828284
4.475082,0.11450958,0.8383838383838385
4.5127425,0.11568165,0.8484848484848485
4.551286,0.118169785,0.8585858585858587
4.5911503,0.122555256,0.8686868686868687
4.633009,0.12962866,0.8787878787878789
4.67791,0.14049959,0.888888888888889
4.7274833,0.15673637,0.8989898989898991
4.784251,0.18063688,0.9090909090909092
4.8520665,0.21569157,0.9191919191919192
4.9367285,0.2673645,0.9292929292929294
5.046775,0.34429646,0.9393939393939394
5.194791,0.46001434,0.9494949494949496
5.400694,0.6358962,0.9595959595959596
5.702178,0.90983105,0.9696969696969696
6.1807055,1.3612516,0.97979797979798
6.9830623,2.1398568,0.98989898989899
8.233484,3.3953118,1.0
